ticker,date_from,date_to,value_from,value_to,pct_change
NASDAQCOM,2022-08-26 00:00:00,2022-08-29 00:00:00,12141.71,12017.67,-1.0216023937320118
NASDAQCOM,2022-08-29 00:00:00,2022-08-30 00:00:00,12017.67,11883.14,-1.1194349653468656
NASDAQCOM,2022-09-01 00:00:00,2022-09-02 00:00:00,11785.13,11630.86,-1.3090224715382743
NASDAQCOM,2022-09-06 00:00:00,2022-09-07 00:00:00,11544.91,11791.9,2.1393843693887593
NASDAQCOM,2022-09-08 00:00:00,2022-09-09 00:00:00,11862.13,12112.31,2.109064729521598
NASDAQCOM,2022-09-09 00:00:00,2022-09-12 00:00:00,12112.31,12266.41,1.2722593790944945
NASDAQCOM,2022-09-12 00:00:00,2022-09-13 00:00:00,12266.41,11633.57,-5.159129688311415
NASDAQCOM,2022-09-14 00:00:00,2022-09-15 00:00:00,11719.68,11552.36,-1.4276840323285251
NASDAQCOM,2022-09-20 00:00:00,2022-09-21 00:00:00,11425.05,11220.19,-1.7930774920022126
NASDAQCOM,2022-09-21 00:00:00,2022-09-22 00:00:00,11220.19,11066.81,-1.3670000240637727
NASDAQCOM,2022-09-22 00:00:00,2022-09-23 00:00:00,11066.81,10867.93,-1.7970851582343892
NASDAQCOM,2022-09-27 00:00:00,2022-09-28 00:00:00,10829.5,11051.64,2.0512489034581414
NASDAQCOM,2022-09-28 00:00:00,2022-09-29 00:00:00,11051.64,10737.51,-2.8423835738406176
NASDAQCOM,2022-09-29 00:00:00,2022-09-30 00:00:00,10737.51,10575.62,-1.5077052314735857
NASDAQCOM,2022-09-30 00:00:00,2022-10-03 00:00:00,10575.62,10815.43,2.2675739105603214
NASDAQCOM,2022-10-03 00:00:00,2022-10-04 00:00:00,10815.43,11176.41,3.3376389103345825
NASDAQCOM,2022-10-06 00:00:00,2022-10-07 00:00:00,11073.31,10652.4,-3.801121796463748
NASDAQCOM,2022-10-07 00:00:00,2022-10-10 00:00:00,10652.4,10542.1,-1.0354474109120881
NASDAQCOM,2022-10-10 00:00:00,2022-10-11 00:00:00,10542.1,10426.19,-1.0994963052902158
NASDAQCOM,2022-10-12 00:00:00,2022-10-13 00:00:00,10417.1,10649.15,2.2275873323669666
NASDAQCOM,2022-10-13 00:00:00,2022-10-14 00:00:00,10649.15,10321.39,-3.077804331801132
